	ids	cid	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL1939806-CHEMBL1939804	0	295	19	0	0.0	7.4642011895775795e-06
1	CHEMBL1939803-CHEMBL1939804	0	295	19	0	0.0	8.840257578413002e-06
2	CHEMBL2017063-CHEMBL2017070	0	295	19	0	0.0	1.4627757082052995e-05
3	CHEMBL1940063-CHEMBL1939915	0	295	19	1	0.0	2.357245193707058e-06
4	CHEMBL2017071-CHEMBL2017085	0	295	19	0	0.0	1.0365763955633156e-05
5	CHEMBL2017075-CHEMBL2017078	0	295	19	0	0.0	4.5223869165056385e-06
6	CHEMBL1939912-CHEMBL1940051	0	295	19	0	0.0	6.5624358285276685e-06
7	CHEMBL1939789-CHEMBL1939801	0	295	19	0	0.0	5.657248493662337e-06
8	CHEMBL2017073-CHEMBL2017074	0	295	19	0	0.0	7.984617695910856e-06
9	CHEMBL1939789-CHEMBL1939810	0	295	19	0	0.0	5.88368902754155e-06
10	CHEMBL2017075-CHEMBL2017071	0	295	19	0	0.0	7.154013928811764e-06
11	CHEMBL1939913-CHEMBL1940051	0	295	19	0	0.0	5.197206064622151e-06
12	CHEMBL1939799-CHEMBL1939803	0	295	19	0	0.0	5.1181100388930645e-06
13	CHEMBL1939913-CHEMBL1940053	0	295	19	0	0.0	5.672953648172552e-06
14	CHEMBL1939918-CHEMBL1939912	0	295	19	0	0.0	4.426178293215344e-06
15	CHEMBL1940063-CHEMBL1939914	0	295	19	1	0.0	3.4075428629876114e-06
16	CHEMBL2017082-CHEMBL2017063	0	295	19	0	0.0	1.1040344361390453e-05
17	CHEMBL1939919-CHEMBL1939917	0	295	19	0	0.0	4.6970467337814625e-06
18	CHEMBL1939793-CHEMBL1939810	0	295	19	0	0.0	4.209572580293752e-06
19	CHEMBL1939912-CHEMBL1939914	0	295	19	0	0.0	9.264285836252384e-06
20	CHEMBL1939796-CHEMBL1939794	0	295	19	0	0.0	3.931515038857469e-06
21	CHEMBL1939811-CHEMBL1939793	0	295	19	0	0.0	3.36635412168107e-06
22	CHEMBL1940051-CHEMBL1939919	0	295	19	0	0.0	7.330869266297668e-06
23	CHEMBL3769461-CHEMBL3770107	0	295	19	0	0.0	2.1718415510463274e-08
24	CHEMBL2017075-CHEMBL2017077	0	295	19	0	0.0	4.410743258631555e-06
25	CHEMBL1939809-CHEMBL1939804	0	295	19	0	0.0	8.713884199096356e-06
26	CHEMBL2016583-CHEMBL2017087	0	295	19	0	0.0	1.0983269930875394e-05
27	CHEMBL1939799-CHEMBL1939809	0	295	19	0	0.0	5.0462103899917565e-06
28	CHEMBL1939795-CHEMBL1939810	0	295	19	0	0.0	5.211962161411066e-06
29	CHEMBL2017084-CHEMBL2017064	0	295	19	0	0.0	8.8135811893153e-06
30	CHEMBL1939913-CHEMBL1939917	0	295	19	0	0.0	3.3277312923019053e-06
31	CHEMBL2017076-CHEMBL2017087	0	295	19	0	0.0	1.1056770745199174e-05
32	CHEMBL2017074-CHEMBL2017068	0	295	19	0	0.0	1.0704244232329074e-05
33	CHEMBL3084429-CHEMBL1939908	0	295	19	0	0.0	1.2545363006211119e-06
34	CHEMBL1939787-CHEMBL1939800	0	295	19	1	0.0	7.185925369412871e-06
35	CHEMBL2017078-CHEMBL2017083	0	295	19	0	0.0	6.540106824104441e-06
36	CHEMBL2017076-CHEMBL2017084	0	295	19	0	0.0	8.217093636631034e-06
37	CHEMBL2017082-CHEMBL2017064	0	295	19	0	0.0	8.819062713882886e-06
38	CHEMBL2017084-CHEMBL2017068	0	295	19	0	0.0	1.5836189049878158e-05
39	CHEMBL2017076-CHEMBL2017064	0	295	19	0	0.0	6.106851742515573e-06
40	CHEMBL1939789-CHEMBL1939807	0	295	19	0	0.0	6.018588010192616e-06
41	CHEMBL1940063-CHEMBL1939912	0	295	19	1	0.0	3.009313104485045e-06
42	CHEMBL2017082-CHEMBL2017069	0	295	19	0	0.0	1.5819283362361602e-05
43	CHEMBL1939913-CHEMBL1939911	0	295	19	0	0.0	9.314480848843232e-06
44	CHEMBL2017063-CHEMBL2017071	0	295	19	0	0.0	9.627038707549218e-06
45	CHEMBL1939918-CHEMBL1940051	0	295	19	0	0.0	3.5504815514286747e-06
46	CHEMBL2017073-CHEMBL2017069	0	295	19	0	0.0	1.5776271538925357e-05
47	CHEMBL1939788-CHEMBL1939801	0	295	19	0	0.0	7.321416433114791e-06
48	CHEMBL2017078-CHEMBL2017087	0	295	19	0	0.0	8.799958777672146e-06
49	CHEMBL3084429-CHEMBL1939917	0	295	19	0	0.0	8.293746418530645e-07
50	CHEMBL1940051-CHEMBL1939915	0	295	19	0	0.0	5.1404795158305205e-06
51	CHEMBL2017074-CHEMBL2017084	0	295	19	0	0.0	8.001463356777094e-06
52	CHEMBL2017078-CHEMBL2017082	0	295	19	0	0.0	6.544405550812371e-06
53	CHEMBL1939791-CHEMBL1939809	0	295	19	0	0.0	7.1227600528800394e-06
54	CHEMBL1939791-CHEMBL1939810	0	295	19	0	0.0	5.813008101540618e-06
55	CHEMBL1939788-CHEMBL1939812	0	295	19	0	0.0	9.771957593329716e-06
56	CHEMBL2017077-CHEMBL2017084	0	295	19	0	0.0	6.37888342680526e-06
57	CHEMBL1939808-CHEMBL1939800	0	295	19	1	0.0	4.875229933531955e-06
58	CHEMBL2017083-CHEMBL2017063	0	295	19	0	0.0	1.1033166629204061e-05
59	CHEMBL1939907-CHEMBL1940051	0	295	19	0	0.0	5.0868843572970945e-06
60	CHEMBL3084429-CHEMBL1939913	0	295	19	0	0.0	1.2797142971976427e-06
61	CHEMBL1939803-CHEMBL1939812	0	295	19	0	0.0	8.58801377034979e-06
62	CHEMBL1940053-CHEMBL1939919	0	295	19	0	0.0	8.001921742106788e-06
63	CHEMBL1940063-CHEMBL1939916	0	295	19	1	0.0	1.8851840195566183e-06
64	CHEMBL1939918-CHEMBL1939919	0	295	19	0	0.0	4.940737653669203e-06
65	CHEMBL2017078-CHEMBL2017084	0	295	19	0	0.0	6.540331469295779e-06
66	CHEMBL1939788-CHEMBL1939809	0	295	19	0	0.0	9.331632099929266e-06
67	CHEMBL3084429-CHEMBL1940065	0	295	19	0	0.0	6.250391493267671e-07
68	CHEMBL1939913-CHEMBL1939907	0	295	19	0	0.0	5.021923243475612e-06
69	CHEMBL1939782-CHEMBL1939788	0	295	19	0	0.0	1.0577660759736318e-05
70	CHEMBL1939799-CHEMBL1939812	0	295	19	0	0.0	5.287630756356521e-06
71	CHEMBL1939782-CHEMBL1939809	0	295	19	0	0.0	9.21168157219654e-06
72	CHEMBL1939791-CHEMBL1939803	0	295	19	0	0.0	7.2193638516182546e-06
73	CHEMBL1939790-CHEMBL1939809	0	295	19	0	0.0	9.38664743443951e-06
74	CHEMBL2017060-CHEMBL2017061	0	295	19	0	0.0	7.465536100426107e-07
75	CHEMBL1939788-CHEMBL1939804	0	295	19	0	0.0	7.70862607168965e-06
76	CHEMBL2017074-CHEMBL2017070	0	295	19	0	0.0	1.0608583579596598e-05
77	CHEMBL1939810-CHEMBL1939801	0	295	19	0	0.0	6.953172942303354e-06
78	CHEMBL1939907-CHEMBL1939917	0	295	19	0	0.0	3.259271579736378e-06
79	CHEMBL1939789-CHEMBL1939800	0	295	19	0	0.0	5.659833732352126e-06
80	CHEMBL1939805-CHEMBL1939800	0	295	19	1	0.0	5.749856427428313e-06
