	CHEMBL2147	CHEMBL234	CHEMBL2820	CHEMBL3594	CHEMBL3729	CHEMBL237	CHEMBL3837	CHEMBL4072	CHEMBL244	CHEMBL335	CHEMBL1800	CHEMBL4523	CHEMBL204	CHEMBL236
CHEMBL2147	0.0	0.530177804727088	0.2271149774799547	0.5480919055686997	0.7319529454708907	0.10021858087709667	0.22537212693646183	0.11826382680384001	0.31252973991259564	0.2510811457670048	0.2534066925752464	0.005930680361265925	0.3495646900151451	0.14595808806112337
CHEMBL234	0.530177804727088	0.0	0.309096218880615	0.1941753233795928	0.08944997748502292	0.4192216818013704	0.1812570105384175	0.2370629535374131	0.49332361754241894	0.7231924681948674	0.5762458387128327	0.5081860414317113	0.42290914774927424	0.5639484258212704
CHEMBL2820	0.2271149774799547	0.309096218880615	0.0	0.628998009944453	0.4430046865804135	0.38623420014139986	0.33098165557197623	0.17334996402697744	0.6963553482830256	0.2203731856009455	0.2166427290224347	0.18374254996927947	0.6815534147018679	0.5410002473775685
CHEMBL3594	0.5480919055686997	0.1941753233795928	0.628998009944453	0.0	0.26533084160830334	0.3071180499018037	0.0999996799996431	0.2632504839642151	0.16496847691575892	0.9198579179473689	0.870321008750065	0.5538235170595119	0.1116589736697247	0.34693984347109064
CHEMBL3729	0.7319529454708907	0.08944997748502292	0.4430046865804135	0.26533084160830334	0.0	0.534788445143602	0.28147026482228216	0.38762410387684254	0.6504875408142266	0.7325864099113433	0.6818918776975247	0.6867283346405059	0.5689759615716229	0.6943401081391438
CHEMBL237	0.10021858087709667	0.4192216818013704	0.38623420014139986	0.3071180499018037	0.534788445143602	0.0	0.09003964553590557	0.10213143736105162	0.12097354190191781	0.37755580730780136	0.375469197678369	0.11793062190699807	0.14276426539559972	0.02160828464595544
CHEMBL3837	0.22537212693646183	0.1812570105384175	0.33098165557197623	0.0999996799996431	0.28147026482228216	0.09003964553590557	0.0	0.05345099189486986	0.10684504424697752	0.5151706812919207	0.5091499687749733	0.23013983790246267	0.08795053581214043	0.1397522385852844
CHEMBL4072	0.11826382680384001	0.2370629535374131	0.17334996402697744	0.2632504839642151	0.38762410387684254	0.10213143736105162	0.05345099189486986	0.0	0.2148611367672032	0.32792391125231857	0.35379199294298974	0.11913270290947536	0.2074410602690389	0.16911335075370404
CHEMBL244	0.31252973991259564	0.49332361754241894	0.6963553482830256	0.16496847691575892	0.6504875408142266	0.12097354190191781	0.10684504424697752	0.2148611367672032	0.0	0.8072043486198801	0.8059925782341251	0.3503022300637513	0.0075627790146083704	0.08619961935795678
CHEMBL335	0.2510811457670048	0.7231924681948674	0.2203731856009455	0.9198579179473689	0.7325864099113433	0.37755580730780136	0.5151706812919207	0.32792391125231857	0.8072043486198801	0.0	0.19856987949827254	0.2106933793856118	0.8340007471396442	0.48365379122845875
CHEMBL1800	0.2534066925752464	0.5762458387128327	0.2166427290224347	0.870321008750065	0.6818918776975247	0.375469197678369	0.5091499687749733	0.35379199294298974	0.8059925782341251	0.19856987949827254	0.0	0.21678290964581207	0.8085039506299866	0.5228362679956264
CHEMBL4523	0.005930680361265925	0.5081860414317113	0.18374254996927947	0.5538235170595119	0.6867283346405059	0.11793062190699807	0.23013983790246267	0.11913270290947536	0.3503022300637513	0.2106933793856118	0.21678290964581207	0.0	0.3829016374013767	0.17492462738862202
CHEMBL204	0.3495646900151451	0.42290914774927424	0.6815534147018679	0.1116589736697247	0.5689759615716229	0.14276426539559972	0.08795053581214043	0.2074410602690389	0.0075627790146083704	0.8340007471396442	0.8085039506299866	0.3829016374013767	0.0	0.12089071792033798
CHEMBL236	0.14595808806112337	0.5639484258212704	0.5410002473775685	0.34693984347109064	0.6943401081391438	0.02160828464595544	0.1397522385852844	0.16911335075370404	0.08619961935795678	0.48365379122845875	0.5228362679956264	0.17492462738862202	0.12089071792033798	0.0
