	accuracy	precision	recall	f1	auc_roc	matthews_coeff	balanced_accuracy	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	balanced_accuracy_var	#tr_var	#ac_tr_var
CHEMBL1075323	0.814	0.0	0.0	0.0	0.5	0.0	0.5	461.333	15.333	0.012	0.0	0.0	0.0	0.0	0.0	0.0	7297.333	10.333
CHEMBL1800	0.893	1.0	0.556	0.7	0.778	0.694	0.778	243.333	10.333	0.004	0.0	0.037	0.03	0.009	0.024	0.009	122.333	0.333
CHEMBL1862	0.683	0.0	0.0	0.0	0.436	-0.138	0.436	228.333	11.667	0.008	0.0	0.0	0.0	0.005	0.017	0.005	162.333	4.333
CHEMBL1902	0.797	0.0	0.0	0.0	0.492	-0.025	0.492	280.0	11.333	0.002	0.0	0.0	0.0	0.0	0.002	0.0	372.0	0.333
CHEMBL2034	0.889	0.333	0.5	0.398	0.724	0.375	0.724	327.667	19.0	0.001	0.093	0.25	0.142	0.053	0.138	0.053	302.333	12.0
CHEMBL204	0.917	0.531	0.539	0.531	0.739	0.487	0.739	1310.667	89.0	0.005	0.253	0.224	0.233	0.061	0.249	0.061	1457.333	727.0
CHEMBL205	0.899	0.35	0.467	0.395	0.699	0.349	0.699	1313.333	90.667	0.002	0.013	0.013	0.011	0.005	0.016	0.005	3504.333	17.333
CHEMBL214	0.853	0.0	0.0	0.0	0.488	-0.036	0.488	445.0	25.667	0.003	0.0	0.0	0.0	0.0	0.004	0.0	733.0	10.333
CHEMBL2147	0.891	0.556	0.444	0.489	0.706	0.45	0.706	292.667	16.333	0.002	0.259	0.148	0.184	0.032	0.164	0.032	580.333	2.333
CHEMBL217	0.933	0.333	0.111	0.167	0.552	0.172	0.552	880.667	38.333	0.001	0.333	0.037	0.083	0.01	0.113	0.01	6204.333	2.333
CHEMBL218	0.844	0.667	0.417	0.457	0.679	0.422	0.679	367.0	21.333	0.001	0.083	0.049	0.01	0.008	0.011	0.008	199.0	12.333
CHEMBL222	0.799	0.333	0.111	0.167	0.539	0.127	0.539	256.667	11.667	0.009	0.333	0.037	0.083	0.013	0.134	0.013	281.333	0.333
CHEMBL224	0.783	0.083	0.111	0.095	0.504	-0.02	0.504	389.0	26.333	0.003	0.021	0.037	0.027	0.005	0.023	0.005	403.0	14.333
CHEMBL228	0.898	0.333	0.111	0.167	0.547	0.165	0.547	607.0	27.667	0.001	0.333	0.037	0.083	0.011	0.117	0.011	2404.0	1.333
CHEMBL2326	0.844	0.0	0.0	0.0	0.478	-0.043	0.478	396.667	15.333	0.004	0.0	0.0	0.0	0.001	0.006	0.001	652.333	2.333
CHEMBL233	0.848	0.667	0.411	0.505	0.681	0.44	0.681	406.0	18.333	0.0	0.0	0.007	0.004	0.001	0.002	0.001	967.0	14.333
CHEMBL234	0.835	0.0	0.0	0.0	0.483	-0.054	0.483	717.667	40.667	0.005	0.0	0.0	0.0	0.0	0.003	0.0	1961.333	1.333
CHEMBL236	0.85	0.194	0.15	0.167	0.557	0.13	0.557	683.667	32.0	0.005	0.03	0.018	0.021	0.002	0.013	0.002	5260.333	27.0
CHEMBL237	0.889	0.622	0.593	0.603	0.762	0.537	0.762	676.333	32.333	0.001	0.011	0.026	0.015	0.003	0.009	0.003	608.333	174.333
CHEMBL244	0.936	0.56	0.547	0.465	0.755	0.483	0.755	2096.0	146.667	0.001	0.047	0.154	0.006	0.029	0.01	0.029	12601.0	556.333
CHEMBL251	0.857	0.583	0.254	0.348	0.603	0.311	0.603	689.333	27.667	0.002	0.271	0.051	0.092	0.018	0.13	0.018	1962.333	30.333
CHEMBL253	0.874	0.444	0.25	0.312	0.617	0.297	0.617	717.333	58.333	0.005	0.148	0.062	0.084	0.015	0.078	0.015	786.333	12.333
CHEMBL255	0.843	0.056	0.083	0.067	0.516	0.026	0.516	536.667	16.0	0.003	0.009	0.021	0.013	0.001	0.002	0.001	508.333	9.0
CHEMBL256	0.831	0.262	0.3	0.278	0.601	0.185	0.601	499.667	29.0	0.001	0.063	0.07	0.065	0.017	0.072	0.017	174.333	3.0
CHEMBL261	0.914	0.4	0.132	0.196	0.556	0.191	0.556	1322.667	81.0	0.002	0.28	0.021	0.051	0.006	0.083	0.006	161.333	48.0
CHEMBL264	0.935	0.644	0.508	0.568	0.741	0.538	0.741	1333.333	64.0	0.0	0.029	0.013	0.019	0.004	0.022	0.004	2074.333	49.0
CHEMBL267	0.814	0.167	0.083	0.111	0.509	0.021	0.509	308.0	14.667	0.002	0.083	0.021	0.037	0.005	0.032	0.005	333.0	6.333
CHEMBL2820	0.849	0.889	0.467	0.6	0.719	0.564	0.719	286.333	16.0	0.007	0.037	0.031	0.03	0.01	0.043	0.01	26.333	3.0
CHEMBL284	0.857	0.167	0.067	0.095	0.519	0.056	0.519	569.333	25.333	0.001	0.083	0.013	0.027	0.003	0.03	0.003	120.333	9.333
CHEMBL3242	0.937	0.444	0.178	0.222	0.579	0.233	0.579	1119.333	60.333	0.0	0.259	0.028	0.037	0.007	0.057	0.007	542.333	10.333
CHEMBL335	0.725	0.0	0.0	0.0	0.471	-0.093	0.471	172.667	12.667	0.0	0.0	0.0	0.0	0.001	0.006	0.001	97.333	4.333
CHEMBL3371	0.748	0.333	0.111	0.167	0.556	0.167	0.556	193.0	11.667	0.005	0.333	0.037	0.083	0.009	0.083	0.009	387.0	4.333
CHEMBL344	0.814	0.49	0.385	0.423	0.647	0.323	0.647	436.333	26.333	0.0	0.007	0.028	0.017	0.005	0.014	0.005	816.333	14.333
CHEMBL3594	0.884	0.125	0.167	0.143	0.555	0.087	0.555	1347.333	86.667	0.001	0.047	0.083	0.061	0.02	0.064	0.02	2556.333	270.333
CHEMBL3729	0.752	0.467	0.333	0.333	0.611	0.278	0.611	255.667	15.667	0.014	0.253	0.111	0.083	0.009	0.074	0.009	24.333	2.333
CHEMBL3837	0.888	0.356	0.333	0.339	0.643	0.285	0.643	734.667	37.667	0.0	0.113	0.083	0.09	0.018	0.09	0.018	3608.333	32.333
CHEMBL3880	0.838	0.0	0.0	0.0	0.474	-0.073	0.474	523.333	20.0	0.002	0.0	0.0	0.0	0.0	0.001	0.0	320.333	13.0
CHEMBL3991	0.873	0.45	0.583	0.508	0.746	0.441	0.746	522.0	32.333	0.006	0.158	0.271	0.203	0.075	0.249	0.075	27.0	6.333
CHEMBL4072	0.809	0.333	0.333	0.333	0.653	0.289	0.653	188.667	11.667	0.028	0.333	0.333	0.333	0.091	0.384	0.091	58.333	0.333
CHEMBL4409	0.715	0.0	0.0	0.0	0.472	-0.073	0.472	275.333	12.667	0.011	0.0	0.0	0.0	0.002	0.016	0.002	430.333	14.333
CHEMBL4523	0.891	1.0	0.556	0.667	0.778	0.681	0.778	243.333	12.667	0.012	0.0	0.148	0.083	0.037	0.077	0.037	82.333	14.333
CHEMBL4657	0.863	0.167	0.222	0.19	0.594	0.167	0.594	400.0	12.333	0.0	0.083	0.148	0.109	0.026	0.083	0.026	1047.0	0.333
